Time,Score,ELO,Error,Puzzle,Output
08/20/24 00:31:07,0,100,length_err,"{""FEN"":""rnb2rk1/ppp2ppp/4pq2/3p4/1P1PnP2/3KPN1P/PP1N2PB/R2Q1B1R b - - 0 12"",""Phase"":""opening"",""OpeningTags"":""Queens Pawn Game Accelerated London System"",""Goal"":""advantage"",""Motif"":""fork"",""Length"":""short"",""Moves"":""e4f2 d3e2 f2d1"",""Rating"":""1080""}","{""FEN"":""rnb2rk1/ppp2ppp/4pq2/3p4/1P1PnP2/3KPN1P/PP1N2PB/R2Q1B1R b - - 0 12"",""PachmanFoltyshookMatehookMateKaulichReturnBrusselsVelimirovicRaptorHalaszPaulsen-BasmanRotary-AlbanyBardelebenPrzepiorkaUlyssesCambridgeBattambangPillsburyKveinisMovesVultureGodesAnti-MoscowTraditional""BenimaGoldmanattackingF2F7Franco-HivaWoozleFoltysWoozleBorgc5Roscherh6e5MovesPerseusCormorantFranco-Hivaf1AlbinBronsteinf5Smith-MorraSmith-MorraKudischewitschb1b1h6f1HorseflyWarsawMasonWareRitterSpeelsmetGellersComplexTumbleweedkRyderRiuminSanCambridgePotatoFoltysSuchtingTumbleweedCunninghamTumbleweedIrishWareKitchenerSvenoniusb8Paulsen-BasmanVinogradovGrunfeldBorgWeberFormationHartlaub-CharlickCochraneRapport-JobavaRoscherGrobDrillPerrinmateIn2Neo-ModernSanChekhoverclearanceTumbleweedRyderkingsideAttackLangeVinogradovKudischewitschSnagglepussBarmenLanc-ArnoldAnti-MoscowGunsberg""SmithPseudo-Benkoh6CzechVultureVulturef1a4FrappeGibbins-WiedenhagenUrusovBarmenAnglo-DutchChekhover"
08/20/24 00:31:14,0,100,eot_err,"{""FEN"":""4r3/3RP1b1/p5kp/1p4p1/4Np2/8/r4PPP/4R1K1 w - - 0 34"",""Phase"":""endgame"",""Goal"":""advantage"",""Length"":""short"",""Moves"":""e4d6 e8e7 d7e7"",""Rating"":""1618""}","{""FEN"":""4r3/3RP1b1/p5kp/1p4p1/4Np2/8/r4PPP/4R1K1 w - - 0 34"",""11|<eot_token>|"
08/20/24 00:31:21,0,100,length_err,"{""FEN"":""2r2k2/R7/1p4Rp/4Qp2/1pr1p2q/P3P1N1/5PP1/6K1 b - - 0 30"",""Phase"":""middlegame"",""Goal"":""mate"",""Motif"":""attraction sacrifice"",""Length"":""veryLong"",""Mate"":""mateIn4"",""Moves"":""c4c1 g3f1 c1f1 g1f1 h4h1 f1e2 c8c2"",""Rating"":""2102""}","{""FEN"":""2r2k2/R7/1p4Rp/4Qp2/1pr1p2q/P3P1N1/5PP1/6K1 b - - 0 30"","""","""",""PP/53/Graz8/"","" {""Manhattan3//n1p - PP/1ppk - - - -2//k"","""",""Moves"":""2/p/PPPPPP/P1 1/ - - w/"","""":""short7/Pozarek"","""":""0"",""Moves"":""/P/pp/ - 1/3/rk1Giraffe3Moves"",""Moves"":""p"","""",""4 "",""4/1/p"",""Rating"":""2/pp/PP7 P"
08/20/24 00:31:28,0,100,length_err,"{""FEN"":""r2r2k1/pb3ppp/1p4q1/3n1N2/4pP2/4P3/PP2B1PP/3RQRK1 w - - 4 19"",""Phase"":""middlegame"",""OpeningTags"":""Queens Pawn Game Accelerated London System"",""Goal"":""crushing"",""Motif"":""fork sacrifice"",""Length"":""long"",""Moves"":""d1d5 b7d5 f5e7 g8h8 e7g6"",""Rating"":""1326""}","{""FEN"":""r2r2k1/pb3ppp/1p4q1/3n1N2/4pP2/4P3/PP2B1PP/3RQRK1 w - - 4 19"",""Length"":""4/P1krPianissimo3/4PB42/pp2pp/4 - 0 2R2//p1/4/4"",""Moves"":"""":""1 Defense2/1/2/PPPPPP w Phase"":""1/p//P/Pp"",""Phase"":""K17p1 3pP1/2p//K3PPQk3Ppw 2/63/e4"",""Phase"":""1/Boleslavsky/p2/3/1/3//Wayward/p"
08/20/24 00:31:34,0,100,moves_err,"{""FEN"":""3r4/p1N2p1p/1bR3p1/7k/1P2P3/5P1P/P3KP2/8 b - - 0 26"",""Phase"":""endgame"",""Goal"":""advantage"",""Length"":""short"",""Moves"":""d8c8 c6b6 a7b6"",""Rating"":""1549""}","{""FEN"":""3r4/p1N2p1p/1bR3p1/7k/1P2P3/5P1P/P3KP2/8 b - - 0 26"",""Length"":""r1P1""}"
08/20/24 00:31:41,0,100,moves_err,"{""FEN"":""2r1k3/6RR/p6p/1p6/5rPK/8/8/8 w - - 11 50"",""Phase"":""rookEndgame"",""Goal"":""crushing"",""Motif"":""attraction exposedKing skewer"",""Length"":""veryLong"",""Moves"":""g7g8 f4f8 g8f8 e8f8 h7h8 f8e7 h8c8"",""Rating"":""1913""}","{""FEN"":""2r1k3/6RR/p6p/1p6/5rPK/8/8/8 w - - 11 50"",""Length"":""2P12"",""Phase"":""4r2/8f6 - Variation"",""Rating"":""short"",""Goal"":""middlegame"",""Rating"":""long"",""Rating"":""r2""}"
08/20/24 00:31:48,0,100,moves_err,"{""FEN"":""8/8/1R2nk2/5p2/2K3pp/8/7P/8 w - - 0 57"",""Phase"":""endgame"",""Goal"":""crushing"",""Motif"":""defensiveMove"",""Length"":""long"",""Moves"":""c4d5 f6g5 b6e6 g4g3 h2h3"",""Rating"":""2535""}","{""FEN"":""8/8/1R2nk2/5p2/2K3pp/8/7P/8 w - - 0 57"",""Length"":"""",""Length"":""r51d4f3 e8"",""Rating"":""1/4/p/6/3""}"
08/20/24 00:31:55,0.0,100,,"{""FEN"":""8/5kp1/4p2p/2R2p2/1P6/3p4/3K1nPP/8 b - - 0 40"",""Phase"":""endgame"",""Goal"":""crushing"",""Motif"":""fork"",""Length"":""short"",""Moves"":""f2e4 d2d3 e4c5"",""Rating"":""583""}","{""FEN"":""8/5kp1/4p2p/2R2p2/1P6/3p4/3K1nPP/8 b - - 0 40"",""Goal"":""r1/7PQ0 4B19"",""Rating"":""advantage"",""Phase"":""long"",""Phase"":""short"",""Length"":""middlegame"",""Rating"":""66"",""Goal"":""mate"",""Goal"":""mate"",""Moves"":""01/p1/R2/2/4/5""}"
08/20/24 00:32:01,0.0,100,,"{""FEN"":""4r3/8/pp1RP1n1/k2p1pB1/P2PbP2/1KP5/8/8 w - - 0 40"",""Phase"":""endgame"",""Goal"":""advantage"",""Length"":""short"",""Moves"":""g5d8 e8d8 d6d8"",""Rating"":""1868""}","{""FEN"":""4r3/8/pp1RP1n1/k2p1pB1/P2PbP2/1KP5/8/8 w - - 0 40"",""Phase"":""2 23 5g2 - w g7 - d2 0"",""Phase"":""6"",""Length"":""hangingPiece f5c6 d4"",""Moves"":""6""}"
08/20/24 00:32:08,0,100,moves_err,"{""FEN"":""r2qk1r1/3p3p/p1b1pp2/5n2/2P5/4Q1R1/BPP2P1P/2KR4 w q - 2 23"",""Phase"":""middlegame"",""Goal"":""crushing"",""Motif"":""hangingPiece skewer"",""Length"":""short"",""Moves"":""g3g8 e8f7 g8d8"",""Rating"":""957""}","{""FEN"":""r2qk1r1/3p3p/p1b1pp2/5n2/2P5/4Q1R1/BPP2P1P/2KR4 w q - 2 23"",""Phase"":""1 2"",""Length"":""pawnEndgame"",""Phase"":""advantage"",""Phase"":""middlegame"",""Goal"":""short"",""Length"":""mateIn1"",""Length"":""k24bpr4""}"
