Time,Score,ELO,Error,Puzzle,Output
08/19/24 18:31:41,0,100,length_err,"{""FEN"":""4nk2/pp3ppb/1qp4p/5P2/2pP4/P1B1Q1PP/1P4B1/6K1 w - - 2 28"",""Phase"":""endgame"",""Goal"":""crushing"",""Length"":""short"",""Moves"":""c3b4 b6b4 a3b4"",""Rating"":""987""}","{""FEN"":""4nk2/pp3ppb/1qp4p/5P2/2pP4/P1B1Q1PP/1P4B1/6K1 w - - 2 28"",""Banzai-LeongBanzai-LeongKorchnoiBardelebenFoltysBardelebenGermanMovesSmithf5b1RoscherKaulichAnti-MoscowPawnsNapoleonSodiumRobatschLutikovFranco-HivaNorwegianRosentreterSmithFoltysWoodchuckGloriaSmithNorwegianRotary-AlbanyTraditionalRooksFormationGhulam-KassimFurmanb1FoltysGermanQuaadeGodesFranco-HivaZellerBlackSmith-MorraGodesRobatschPrzepiorkaVinogradovGodesMasonHornungFoltysHaitiattackingF2F7Godesa4FrappeHerrstromCaro-KannSpeelsmetCambridgeMorrisCanalKaulichSmith-MorraGibbins-WiedenhagenSmyslovLopezSpeelsmetclearance:BronsteinRobatschPachmanCormorantmateIn2ClampPrzepiorkaRobatschMasonPerseusUrusovf5ClampKlueverRoscherSvenoniusattackingF2F7BorgPanov-BotvinnikSchwartzf1Anglo-DutchSodiumCzechb1VelimirovicequalityFoltysKaulichSmyslovBorgRooksVelimirovicCenterKnightsTumbleweedFrappeRobatschWoodchuckSmyslovWoodchuckCreepyCzechViennaPillsburyPillsburySvenoniusBardelebenBavarianCormorantNeo-ModernOtherDrillbf7"
08/19/24 18:31:48,0,100,eot_err,"{""FEN"":""8/p7/1p6/1k4b1/6Kp/8/P5PP/8 w - - 0 43"",""Phase"":""endgame"",""Goal"":""crushing"",""Length"":""short"",""Moves"":""g4g5 b5c6 g5h4"",""Rating"":""1134""}","{""FEN"":""8/p7/1p6/1k4b1/6Kp/8/P5PP/8 w - - 0 43"",""Mate"":""|<eot_token>|"
08/19/24 18:31:54,0,100,eot_err,"{""FEN"":""8/p5pk/3b2r1/2p2Q2/2P2p1p/1P2pq1P/PBP1R1P1/6K1 w - - 0 39"",""Phase"":""endgame"",""Goal"":""crushing"",""Length"":""short"",""Moves"":""f5g6 h7g6 g2f3"",""Rating"":""1386""}","{""FEN"":""8/p5pk/3b2r1/2p2Q2/2P2p1p/1P2pq1P/PBP1R1P1/6K1 w - - 0 39"","""","""",""|<eot_token>|"
08/19/24 18:32:01,0,100,length_err,"{""FEN"":""r1b1k2r/ppp2ppp/2nbp3/8/2B1N2q/3P4/PPP2PPP/R1BQK2R w KQkq - 1 9"",""Phase"":""opening"",""OpeningTags"":""Zukertort Opening Tennison Gambit"",""Goal"":""crushing"",""Motif"":""trappedPiece"",""Length"":""short"",""Moves"":""c1g5 h4g5 e4g5"",""Rating"":""1661""}","{""FEN"":""r1b1k2r/ppp2ppp/2nbp3/8/2B1N2q/3P4/PPP2PPP/R1BQK2R w KQkq - 1 9"",""Length"":""7"",""Goal"":""mateIn1"","":"",""Moves"":""endgame"",""Mate"":""mate"",""Moves"":""endgame"",""Length"":""6/2/3p5pppp/6B1p5P5pp2Bilguer"",""Length"":""mate"",""Length"":""mate"",""Length"":""mate"",""Phase"":""advancedPawn"",""Moves"":""4RPP3/4q"",""Length"":""endgame"",""Rating"":""8"",""Moves"":""6/1P1/rP/4QP3p/c8 w 0 - 2p2//Norfolkp2 bP/2/ppp1p2"
08/19/24 18:32:08,0,100,eot_err,"{""FEN"":""r4rk1/pp3ppp/4bq2/4n3/1P6/P3Q1P1/1N1NPP1P/R4RK1 b - - 6 18"",""Phase"":""middlegame"",""OpeningTags"":""Kings Indian Attack Other variations"",""Goal"":""advantage"",""Motif"":""discoveredAttack"",""Length"":""short"",""Moves"":""e5g4 e3f4 f6b2"",""Rating"":""1739""}","{""FEN"":""r4rk1/pp3ppp/4bq2/4n3/1P6/P3Q1P1/1N1NPP1P/R4RK1 b - - 6 18"",""Goal"":""crushing"",""Length"":""mateIn1"",""Clamp"":""6k1|<eot_token>|"
08/19/24 18:32:15,0,100,length_err,"{""FEN"":""r1bq1rk1/p3bppp/4pn2/2p5/2PpP3/6P1/PP2NPBP/R1BQ1RK1 w - - 0 12"",""Phase"":""opening"",""OpeningTags"":""Indian Defense Knights Variation"",""Goal"":""advantage"",""Length"":""short"",""Moves"":""e4e5 a8b8 e5f6"",""Rating"":""1308""}","{""FEN"":""r1bq1rk1/p3bppp/4pn2/2p5/2PpP3/6P1/PP2NPBP/R1BQ1RK1 w - - 0 12"",""Goal"":""8/P1RR9"",""Goal"":""mateIn1"",""Moves"":""mate"",""Length"":""short"",""Goal"":""1/pp1 Defense - - - - 5"",""Moves"":""mate"",""Phase"":""mate"",""Goal"":""r5/1/8/6 b 4/pppP1p1B4K1/P2p1P2 b/6/5/6rP1/b13K/3f6 w Defense - 0"",""Phase"":""middlegame"",""Phase"":""mateIn1"",""Moves"":""Phase"":""oneMove"",""Motif"":""2N"
08/19/24 18:32:22,0,100,length_err,"{""FEN"":""2k3r1/bpp2p2/p2p1Q2/n3p3/1N2P1q1/2PP2Pp/PP3P2/R1N2RK1 b - - 0 24"",""Phase"":""middlegame"",""Goal"":""mate"",""Motif"":""kingsideAttack pin"",""Length"":""short"",""Mate"":""mateIn2"",""Moves"":""g4g3 g1h1 g3g2"",""Rating"":""1836""}","{""FEN"":""2k3r1/bpp2p2/p2p1Q2/n3p3/1N2P1q1/2PP2Pp/PP3P2/R1N2RK1 b - - 0 24"",""Goal"":""backRankMate w 1Qw - 0 e4"",""Goal"":""e4"",""Length"":""mate"",""Rating"":""short"",""Phase"":""75k1/P3 - 4"",""Mate"":""3RnP1 - - - - - 0/6 - - 1 - - 4"",""Goal"":""1p/2 b b - - d1"",""Rating"":""rookEndgame"",""Moves"":""mateIn1"",""Length"":""mate"",""Motif"":""5p17"",""Motif"":""mateIn1"",""Moves"":""middlegame"",""Goal"":""8/42N4"
08/19/24 18:32:30,0,100,length_err,"{""FEN"":""4r2k/1pp3pp/p2b1r2/3QNq2/8/N1P5/PP3PPP/R3R1K1 b - - 0 17"",""Phase"":""middlegame"",""OpeningTags"":""Nimzowitsch Defense Scandinavian Variation"",""Goal"":""crushing"",""Motif"":""intermezzo kingsideAttack"",""Length"":""long"",""Moves"":""f5f2 g1h1 e8e5 d5e5 d6e5"",""Rating"":""2055""}","{""FEN"":""4r2k/1pp3pp/p2b1r2/3QNq2/8/N1P5/PP3PPP/R3R1K1 b - - 0 17"",""Goal"":""8 2qP6b1 - b g1 - - 3 - 3"",""Phase"":""middlegame"",""Goal"":""backRankMate b Defense - mateIn2"",""Moves"":""advantage"",""Rating"":""mate"",""Goal"":""crushing"",""Goal"":""fork"",""Length"":""65"",""Motif"":""d8"",""Rating"":""mate"",""Moves"":""1"",""Rating"":""mate"",""Goal"":""7/2r3 - - pp1pb1P45n4p2pq/60"",""Length"":""mate"",""Rating"":""7pp3p1ppppR26"
08/19/24 18:32:36,0.0,100,,"{""FEN"":""r5k1/pp3pb1/5qp1/3p3b/4p1PP/2P1PP2/PP1QK3/RB3R2 b - - 2 26"",""Phase"":""middlegame"",""Goal"":""advantage"",""Length"":""short"",""Moves"":""e4f3 e2d1 h5g4"",""Rating"":""1351""}","{""FEN"":""r5k1/pp3pb1/5qp1/3p3b/4p1PP/2P1PP2/PP1QK3/RB3R2 b - - 2 26"",""Phase"":""backRankMate 24KP1k1 39"",""Mate"":""oneMove"",""Rating"":""crushing"",""Motif"":""mate"",""Motif"":""endgame"",""Moves"":""crushing"",""Length"":""r1""}"
08/19/24 18:32:43,0,100,moves_err,"{""FEN"":""5rk1/2R2pn1/p5p1/6P1/1P6/6P1/2p1RP2/3qQ1K1 b - - 1 38"",""Phase"":""endgame"",""Goal"":""advantage"",""Motif"":""xRayAttack"",""Length"":""long"",""Moves"":""f8e8 c7c2 d1e1 e2e1 e8e1"",""Rating"":""2199""}","{""FEN"":""5rk1/2R2pn1/p5p1/6P1/1P6/6P1/2p1RP2/3qQ1K1 b - - 1 38"",""Phase"":""7"",""Length"":""short"",""Length"":""6K174""}"
